english,portugues
extraterrestrial,extraterrestre
yeon,sim
fraser,fraser
sleeves,mangas
oranges,laranjas
rhodes,Rodes
purity,pureza
honourable,honroso
mechanics,mecânica
mackenzie,Mackenzie
realizes,percebe
ramp,rampa
intriguing,intrigante
callen,chamar
sinners,pecadores
milord,milorde
occupy,ocupar
aimed,mirado
daft,idiota
islamic,islâmico
consulting,consultando
infirmary,enfermaria
critic,crítico
supports,apoia
agreeing,concordando
straightforward,direto
flare,brilho
referee,juiz
sensor,sensor
emil,emil
housewife,dona de casa
tours,passeios
fossil,fóssil
replied,respondeu
princes,príncipes
huang,huang
wiser,Mais sábio
cocktails,coquetéis
couid,poderia
buyers,compradores
resemblance,semelhança
packages,pacotes
taped,gravado
avatar,avatar
wireless,sem fio
ingredient,ingrediente
porno,pornô
vinnie,Vinnie
considerate,atencioso
immature,imaturo
pushes,empurra
yin,yin
l`m,eu sou
tomas,Tomás
overreacting,reação exagerada
typically,tipicamente
eclipse,eclipse
oysters,ostras
impose,impor
user,do utilizador
hu,hein
undoubtedly,sem dúvida
dent,dente
spiral,espiral
scans,verificações
posh,elegante
correction,correção
mornin,manhã
rocco,Rocco
sporting,esportivo
negotiation,negociação
fiddle,violino
sails,velas
stein,caneca
salem,Salém
mischief,travessura
ritchie,Richie
vitamins,vitaminas
cognac,conhaque
careers,carreiras
cove,enseada
coco,coco
crisp,nítido
outrage,ultraje
captive,cativo
montreal,Montreal
disconnected,desconectado
flats,apartamentos
cork,cortiça
acute,agudo
pep,vitalidade
riders,cavaleiros
hacking,hackear
contaminated,contaminado
duct,duto
echoes,ecoa
nonetheless,apesar disso
flaw,imperfeição
saturn,Saturno
chiming,badalando
canned,enlatado
appearing,aparecendo
replacing,substituindo
submitted,submetido
francesca,Francesca
mosquito,mosquito
needy,carente
inhabitants,habitantes
yun,cara
incomplete,incompleto
titan,titã
retard,retardar
consul,cônsul
drones,drones
jensen,jensen
stalling,parando
meditation,meditação
defined,definiram
haunting,assombrando
fraternity,fraternidade
colonies,colônias
carve,esculpir
chunk,pedaço
constructed,construído
interrogate,interrogar
oprah,Oprah
commerce,comércio
tasks,tarefas
precaution,precaução
rossi,rossi
nagging,ranzinza
lunchtime,hora do almoço
imported,importado
conceal,esconder
compelled,compelido
airborne,aerotransportado
sentiment,sentimento
syria,Síria
pea,ervilha
hare,lebre
staged,encenado
pumps,bombas
reviews,avaliações
l,eu
containing,contendo
giles,giles
impressions,impressões
irritating,irritante
revolt,revolta
rightful,legítimo
bombers,bombardeiros
marvel,maravilha
chained,acorrentado
snooping,bisbilhotando
seduced,seduzido
beams,feixes
offender,infrator
tobias,Tobias
niggers,negros
jonny,jonny
barton,Barton
pits,poços
shag,transar
underpants,cuecas
dart,dardo
sections,Seções
timeline,Linha do tempo
gays,gays
hopeful,esperançoso
stokes,alimenta
sneakers,tênis
insults,insultos
25th,25º
clatter,barulho
undressed,despido
lucille,Lucille
edo,edo
alfredo,Alfredo
efficiency,eficiência
counterfeit,falsificado
l-i,eu-eu
smiley,risonho
eccentric,excêntrico
wand,varinha
consume,consumir
lesser,menor
welcomed,bem-vindo
wendell,Wendell
tee,camiseta
cocksucker,chupador de pau
pancake,panqueca
probability,probabilidade
peters,Pedro
crater,cratera
distribute,distribuir
whoop,grito
taps,torneiras
flea,pulga
compelling,atraente
dolores,dolores
strawberries,morangos
peacock,pavão
bragging,se gabar
gabi,Gabi
silently,silenciosamente
lacks,falta
adolf,Adolfo
23rd,23º
extinction,extinção
bonding,União
equality,igualdade
kiki,kiki
teens,adolescentes
downhill,descida
peru,Peru
stables,estábulos
terrain,terreno
turbo,turbo
communism,O comunismo
fitted,equipado
irresistible,irresistível
sparrow,pardal
well.,bem.
turd,cocô
preview,visualização
recruits,recrutas
ditched,abandonado
procession,procissão
eduardo,Eduardo
straining,forçando
beads,miçangas
patent,patente
salvage,salvamento
lass,moça
sonja,Sonja
productive,produtivo
hosting,hospedagem
goldfish,peixinho dourado
capitol,Capitólio
odin,Odin
tracker,rastreador
vitamin,Vitamina
bryant,Bryant
goodwill,boa vontade
slater,matador
rhymes,rimas
hippie,hippie
face-to-face,cara a cara
gi,soldado
webb,teia
hallucinations,alucinações
golly,caramba
dandy,dândi
bursting,estourando
savannah,savana
concealed,escondido
nightingale,rouxinol
periods,períodos
kgb,kgb
mammy,mamãe
concentrated,concentrado
britney,Britney
kyung,Kyung
raspberry,framboesa
racial,racial
suv,SUV
hindu,hindu
klein,Klein
he-,ele-
penguins,pinguins
awarded,premiado
mid,meio
ballroom,salão de baile
sinned,pecou
moons,luas
bounced,saltou
scalpel,bisturi
jaime,Jaime
lectures,palestras
texture,textura
wimp,covarde
mounted,montado
algorithm,algoritmo
so,então
desmond,Desmond
fairies,fadas
weighing,pesagem
subpoena,intimação
foe,inimigo
cm,cm
stepmother,madrasta
personalities,personalidades
revive,reviver
marcos,marcos
cluster,conjunto
grandad,avô
sparkling,espumante
tiring,cansativo
supposing,supondo
sketches,esboços
enchanted,encantado
hari,hari
respectful,respeitoso
honk,buzinar
doughnut,rosquinha
om,ah
delia,Délia
rae,rae
clanking,tilintar
organizing,organizando
boyle,Boyle
inject,injetar
re-,ré-
burner,queimador
melancholy,melancólico
puppets,fantoches
grieve,lamentar
earring,brinco
extortion,extorsão
simultaneously,simultaneamente
neville,Neville
senseless,sem sentido
sittin,sentado
hostel,Hostel
melvin,melvin
cockroach,barata
clamp,braçadeira
chemist,químico
vargas,Vargas
withstand,resistir
harlem,Harlem
marlon,marlon
frickin,maldito
billionaire,bilionário
an,um
everlasting,eterno
liverpool,Liverpool
cooperative,cooperativo
rural,rural
abbott,abade
receptionist,recepcionista
labels,rótulos
hisses,assobia
admirer,admirador
r,R
iowa,Iowa
holder,suporte
merge,mesclar
nominated,nomeado
miraculous,milagroso
guarantees,garantias
astrid,Astrid
iceland,Islândia
virgins,virgens
blaze,chama
cliffs,falésias
offshore,no mar
viva,Viva
endangered,ameaçadas de extinção
thermal,térmico
toto,totó
stargate,portal estelar
interpret,interpretar
pisses,irrita
transporter,transportador
bosom,seio
shred,Destruir
dread,temor
duration,duração
formality,formalidade
ordeal,provação
agriculture,agricultura
aigoo,aigoo
katya,Katya
abyss,abismo
frenchman,francês
terrence,Terrence
kip,kip
graphic,gráfico
irrational,irracional
paws,patas
cetera,cetera
blasting,explodindo
mean-,significar-
videotape,video cassete
wedded,casado
abide,residir
reserves,reservas
they,eles
decisive,decisivo
clink,tilintar
handicapped,deficiente
meyer,Meyer
voluntarily,voluntariamente
furnace,forno
pierced,perfurado
egyptians,egípcios
bankruptcy,falência
lever,alavanca
shaman,xamã
mashed,purê
decoy,chamariz
jennings,Jennings
subs,substitutos
alligator,jacaré
moth,mariposa
axel,eixo
airlines,companhias aéreas
goofy,pateta
marcy,Márcia
fertile,fertil
deliveries,entregas
righty,certo
technician,técnico
memorable,memorável
cuisine,cozinha
spelled,soletrado
klingon,klingon
reversed,invertido
royce,royce
beforehand,antecipadamente
continuous,contínuo
yoko,Yoko
synthetic,sintético
pools,piscinas
wanker,idiota
obligations,obrigações
signor,signatário
spectrum,espectro
mandarin,mandarim
educate,educar
mp,mp
screwdriver,Chave de fenda
bruised,machucado
panama,Panamá
darts,dardos
viable,viável
wen,quando
scholars,estudiosos
shelves,prateleiras
ramsey,Ramsey
assignments,atribuições
boarded,embarcado
initiated,iniciado
insignificant,insignificante
credentials,credenciais
applaud,aplaudir
providence,providência
sparkle,brilhar
derrick,torre
flooding,inundação
patrols,patrulhas
bess,melhor
cyber,cibernético
slayer,assassino
solely,unicamente
nightfall,anoitecer
what-what,"O que, o que"
mystical,místico
exposing,expondo
dung,estrume
disgusted,com nojo
maintaining,mantendo
receives,recebe
plantation,plantação
havana,Havana
allergies,alergias
invites,convida
comparing,comparando
dirk,punhal
timber,madeira
siberia,Sibéria
winding,enrolamento
rust,ferrugem
francois,François
flyers,folhetos
jarvis,jarvis
coaster,montanha-russa
paragraph,parágrafo
lovin,amando
bundy,Bundy
failures,falhas
representation,representação
cheater,trapaceiro
seafood,frutos do mar
announcing,anunciando
ac,ac
scatter,espalhar
opposing,oposição
dominated,dominado
violate,violar
transmit,transmite
zhao,Zhao
well-being,bem-estar
rattles,chocalhos
eliot,Eliot
fitzgerald,fitzgerald
crowns,coroas
vitals,sinais vitais
intrigued,intrigado
führer,Führer
kylie,Kylie
c,c
amazingly,Surpreendentemente
ultrasound,ultrassom
shifted,mudou
sincerity,sinceridade
hamburg,Hamburgo
digest,digerir
whacked,golpeado
jacks,valetes
bethany,Betânia
proportion,proporção
budge,mover
measurements,Medidas
luisa,Luísa
insisting,insistindo
cyanide,cianeto
robbins,robbins
wiggle,mexer
cid,cid
ryo,ryo
hwa,hã
regarded,considerada
vulcan,vulcão
bradford,Bradford
godzilla,Godzilla
seemingly,aparentemente
cling,agarrar-se
famine,fome
provisions,disposições
syringe,seringa
oyster,ostra
electromagnetic,eletromagnético
consumer,consumidor
lasagna,lasanha
woah,uau
be-,ser-
describes,descreve
merger,fusão
deposits,depósitos
philippines,Filipinas
smuggle,contrabandear
wheezing,chiado no peito
pillar,pilar
spade,pá
clifford,Clifford
nashville,Nashville
signora,signora
troublesome,problemático
ahn,ahn
mariana,mariana
leaks,vazamentos
cupid,cupido
perpetrator,autor
rooftop,telhado
stat,Estado
rhino,rinoceronte
goggles,óculos
fitness,fitness
kensi,Kensi
caress,carícia
devlin,Devlin
inhale,inalar
breaker,disjuntor
meatballs,almôndegas
stewie,guisado
sarcasm,sarcasmo
tung,tungue
blondie,loira
refund,reembolso
shad0,sombra0
chateau,castelo
provoked,provocado
alfie,Alfie
lennox,lenox
mystic,místico
speedy,veloz
course,curso
republicans,republicanos
hoax,farsa
presently,atualmente
rubbed,esfregou
distinctive,distintivo
brighton,Brighton
wagons,vagões
oracle,oráculo
convertible,conversível
squared,ao quadrado
weston,Weston
rites,ritos
rugby,rúgbi
jt,jt
obscene,obsceno
raping,estuprar
earthly,terreno
assess,avaliar
bribes,subornos
jug,jarro
developments,desenvolvimentos
polished,polido
grover,Grover
transferring,transferindo
sliced,fatiado
recruiting,recrutamento
gunman,atirador
linus,Linus
platter,prato
mitzvah,mitsvá
crackles,estalos
interpreter,intérprete
cara,cara
hast,você
finland,Finlândia
loretta,Loreta
suzie,Suzie
cesare,César
powered,alimentado
d.j.,DJ
squares,quadrados
alphabet,alfabeto
internship,estágio
import,importar
anticipate,antecipar
democrats,democratas
futile,Fútil
grandchild,neto
tactic,tática
joyful,alegre
rightly,com razão
there,lá
naming,nomeando
teamwork,trabalho em equipe
obedient,obediente
switches,comuta
dioxide,dióxido
implant,implantar
espresso,expresso
construct,construir
pipeline,gasoduto
confidentiality,confidencialidade
embraced,abraçado
puddle,poça
swam,nadou
beak,bico
mascot,mascote
lemonis,limão
drastic,drástico
proceeding,processo
sums,somas
advertisement,anúncio
adjustment,ajustamento
stig,forte
minimal,mínimo
flashes,pisca
greenhouse,estufa
ma,mãe
vermont,vermonte
canoe,canoa
graduating,graduando
partially,parcialmente
intimidating,intimidador
vaguely,vagamente
geese,gansos
karin,Karin
slowed,desacelerou
tolling,pedágio
overlooked,esquecido
matron,matrona
arcade,videogames
bord0,borda0
chirps,chilrear
spades,espadas
aluminum,alumínio
ssh,ssh
michaels,Michael
candace,Candace
reasoning,raciocínio
snickers,risadinhas
hangar,hangar
sybil,Sibila
crest,crista
highlight,destaque
ziva,ziva
ponies,pôneis
pluto,Plutão
imperative,imperativo
trader,comerciante
drugstore,Drogaria
lenses,lentes
segment,segmento
envious,invejoso
overlook,negligenciar
qin,qin
zelda,Zelda
spoiling,estragando
frames,quadros
hallowed,santificado
chute,rampa
volcanoes,vulcões
strung,amarrado
bros,manos
caffeine,cafeína
postponed,postergado
encounters,encontros
calmed,acalmado
baek,baek
impotent,impotente
entity,entidade
slimy,viscoso
containment,contenção
lowly,humilde
anarchy,anarquia
dudley,dudley
seventy,setenta
m.o.,m.o.
abdul,Abdul
bigfoot,pé Grande
dharma,dharma
cola,Cola
penance,penitência
founding,fundação
krystle,Kristle
caldwell,Caldwell
orientation,orientação
yoo-hoo,io-hoo
p.d.,p.d.
gurgling,gorgolejando
component,componente
slapping,tapa
vermin,verme
lifelong,vitalício
johnnie,johnnie
photographers,fotógrafos
render,renderizar
rhythmic,rítmico
primarily,principalmente
preposterous,absurdo
constantine,Constantino
pictured,retratado
lest,para que
right-hand,mão direita
delusions,delírios
follow-up,seguir
rescuing,resgatando
zane,zane
jaguar,jaguar
she,ela
abusing,abusar
lili,lili
stirred,mexido
kittens,gatinhos
heartbroken,com o coração partido
amar,amar
bugged,grampeado
dimitri,Dimitri
m--i,mi
metropolitan,metropolitano
omelet,omelete
grad,graduado
resentment,ressentimento
dat,isso
hedgehog,ouriço
recipes,receitas
or,ou
physicist,físico
forfeit,perder
boxers,boxeadores
hydra,hidra
shutters,venezianas
pearson,Pearson
daria,Dária
energetic,enérgico
henrik,Henrique
funniest,mais engraçado
constitutional,constitucional
pencils,lápis
gunnar,Gunnar
decks,convés
sterile,estéril
releases,lançamentos
intimidate,intimidar
kenya,Quênia
bred,criado
huck,Huck
nausea,náusea
sakura,sakura
detonate,detonar
lenin,Lênin
inhuman,desumano
violating,violar
oriental,oriental
about-,sobre-
parasites,parasitas
cruising,cruzeiro
tile,telha
ashtray,cinzeiro
donut,rosquinha
decoration,decoração
scoot,fugir
hoss,hoss
espionage,espionagem
wrestler,lutador
barbarians,bárbaros
counsellor,conselheiro
pilgrims,peregrinos
incorrect,incorreta
wilkes,Wilkes
scramble,passeio
hera,hera
my,meu
summons,convocação
bedside,de cabeceira
experimenting,experimentando
truths,verdades
darlene,Darlene
automated,automatizado
explorer,explorador
kappa,capa
goblin,duende
appreciates,agradece
lark,cotovia
reassuring,tranquilizador
pear,pera
simulation,simulação
luncheon,almoço
aide,assessor
guides,guias
banjo,banjo
dina,Dina
blazing,ardente
foley,Foley
silvia,Sílvia
sylvie,Sílvia
sorting,Ordenação
prehistoric,pré-histórico
japs,japoneses
n-no,n-não
herald,arauto
spleen,baço
protestant,protestante
flavour,sabor
0h,0h
enhance,melhorar
johns,João
meadows,prados
majestic,majestoso
frequencies,frequências
containers,containers
subtitling,legendagem
natalia,Natália
rudolph,Rodolfo
disgraced,desonrado
intellect,intelecto
accommodate,acomodar
damaging,prejudicial
iceberg,icebergue
vigilante,vigilante
emile,Emílio
dougie,Dougie
chewed,mastigado
duane,duane
ramona,ramona
hutch,gaiola
runners,corredores
dispatcher,expedidor
iast,primeiro
wraps,embrulhos
teammates,companheiros de equipe
melts,derrete
feud,feudo
passions,paixões
strive,esforço
flourish,florescer
reeves,Reeves
perceive,perceber
bitterness,amargura
fundraiser,arrecadação de fundos
insolent,insolente
strauss,Strauss
circular,circular
casually,casualmente
handler,manipulador
phd,doutorado
multiply,multiplicar
protests,protestos
mit,com
youthful,jovem
kathryn,Kathryn
stacked,empilhado
damian,Damião
suzuki,Suzuki
myra,Myra
stating,afirmando
slices,fatias
snarls,rosna
flawless,perfeito
considers,considera
horseback,a cavalo
m.e.,meu.
navigate,navegar
voice-over,narração
licensed,licenciado
gems,gemas
testifying,testemunhando
dissolve,dissolver
pussycat,gatinho
nbc,NBC
lei,lei
gillian,gillian
continents,continentes
jag,entalhe
bernadette,Bernardete
attachment,anexo
for,para
administrative,administrativo
crave,almejar
turmoil,turbulência
shoving,empurrando
fulfilling,satisfatório
s.h.i.e.l.d.,escudo.
stoop,inclinar-se
a.j.,a.j.
oblige,obrigar
fibers,fibras
aroused,excitado
heinous,hediondo
roulette,roleta
olaf,olavo
enjoyable,agradável
compassionate,compassivo
delegation,delegação
can`t,não posso
fangs,presas
alonso,Alonso
kristina,Cristina
tally,registro
weirdest,mais estranho
eel,enguia
recordings,gravações
hub,eixo
pronto,pronto
kermit,Sapo
delusion,ilusão
calcutta,Calcutá
colon,cólon
crotch,virilha
tariq,tariq
there-,lá-
blackie,negão
infiltrate,infiltrar
erika,Érika
ringo,Ringo
yamato,Yamato
emilia,emília
bonnet,gorro
clips,clipes
bullock,boi
duckman,patinho
accord,acordo
clams,amêijoas
weakened,enfraquecido
marshals,marechais
ironically,ironicamente
bodily,corporalmente
hypnosis,hipnose
uncertainty,incerteza
vortex,vórtice
tights,meia-calça
cello,violoncelo
herring,arenque
ab,ab
orchid,orquídea
pans,panelas
panthers,panteras
wonderland,país das maravilhas
shrapnel,estilhaços
planner,planejador
cactus,cacto
motherland,pátria
mnh-mnh,mnh-mnh
belinda,Belinda
continuously,continuamente
organisms,organismos
regretted,arrependido
alejandro,Alexandre
josef,José
bonded,ligado
tissues,tecidos
pretentious,pretensioso
jeopardize,comprometer
brownies,brownies
separating,separando
reopen,reabrir
camels,camelos
denis,Denis
orchard,Pomar
pleasing,agradável
distressed,angustiado
on,sobre
interact,interagir
rewind,retroceder
burgundy,Borgonha
trillion,trilhão
reservoir,reservatório
flushing,lavagem
serbian,sérvio
caramel,caramelo
slander,calúnia
identifying,identificando
artwork,obra de arte
chilling,arrepiante
backside,parte traseira
untouched,intocado
departments,departamentos
finer,mais fino
him-,ele-
dona,dona
sinatra,sinatra
dodgers,esquivadores
meddling,intromissão
excellence,excelência
latch,robusto
upwards,para cima
midday,meio-dia
unmarried,solteiro
copying,copiando
freya,Freya
bumping,batendo
inland,interior
injections,injeções
python,Pitão
laurent,Laurent
prof.,prof.
roscoe,Roscoe
clot,coágulo
rake,ancinho
bottled,engarrafado
methane,metano
aches,dores
dashing,arrojado
medications,medicamentos
comm,comunicação
miner,mineiro
senile,senil
commando,comando
broth,caldo
lsd,lsd
sesame,sésamo
devour,devorar
sardines,sardinha
govern,governo
consists,consiste
faulty,defeituoso
edinburgh,Edimburgo
jillian,Jilian
unleashed,desencadeado
trixie,trixie
rayna,Rayna
luciano,Luciano
muriel,Muriel
strand,fio
encrypted,criptografado
now-,agora-
judd,juiz
terri,Terri
ferdinand,Fernando
kingdoms,reinos
cromwell,cromwell
tj,tj
bart.,Barto.
sling,Funda
seizures,convulsões
enable,habilitar
for-,para-
bey,bey
creed,crença
buts,mas
kwon,kwon
spectators,espectadores
kato,kato
horseman,cavaleiro
avalanche,avalanche
fret,preocupação
glasgow,Glasgow
micah,Miquéias
anu,anu
mercer,comerciante
conner,Conner
harass,molestar
cheeseburger,X-Burger
chime,badalar
freelance,freelance
marko,marco
b.a.,BA.
brushed,escovado
shatter,quebrar
fascists,fascistas
mckenzie,McKenzie
lama,lama
a-and,a-e
phenomena,fenômenos
contributed,contribuído
bambi,bambi
connor,conor
statute,estatuto
carefree,despreocupado
endurance,resistência
dialed,discado
penitentiary,penitenciária
evolutionary,evolutivo
francesco,Francisco
girlie,menina
rao,rao
regained,recuperado
brewing,fermentação
tat,tato
casanova,casanova
tormented,atormentado
wi-fi,Wi-fi
steamed,cozido no vapor
harassed,assediado
velma,velma
no,não
retribution,retribuição
if,se
ooh-ooh,Ooh Ooh
spat,cuspiu
cartman,Cartman
capabilities,capacidades
grumbling,resmungando
markers,marcadores
specs,especificações
petals,pétalas
battered,espancado
rocker,balancim
whiff,baforada
tor,para
specimens,espécimes
reuben,Ruben
accomplices,cúmplices
somber,sombrio
mutation,mutação
biopsy,biópsia
sen,sen
addressing,endereçamento
iolaus,iolaus
slurping,sorvendo
blackjack,vinte-e-um
irritated,irritado
rigid,rígido
soothing,suavizante
folding,dobrando
loaned,emprestado
piercing,piercing
bristol,Bristol
unharmed,ileso
boils,ferve
crocodiles,crocodilos
lira,lira
giddy,vertiginoso
clinging,agarrado
enforce,impor
conception,concepção
paranormal,paranormal
shun,evitar
aaaah,aaaah
biker,motociclista
commune,comuna
formalities,formalidades
innovation,inovação
koreans,Coreanos
barrow,carrinho de mão
taro,taro
declan,declarar
observations,observações
conversion,conversão
dustin,poeira
goldie,dourado
bulbs,lâmpadas
blindly,cegamente
rabies,raiva
maría,Maria
anand,ananda
baptist,batista
staging,encenação
diabetic,diabético
baskets,cestas
revolting,revoltante
hiroshima,Hiroshima
imitation,imitação
beaumont,Beaumont
garment,vestuário
latter,último
incision,incisão
substances,substâncias
apb,apb
butters,manteiga
dublin,Dublin
dodgy,duvidoso
backbone,espinha dorsal
sightings,avistamentos
goku,Goku
earns,ganha
floods,inundações
begs,implora
strained,tenso
amnesty,anistia
drunks,bêbados
marlowe,Marlowe
gaga,gagá
wacky,maluco
informing,informando
swung,balançado
trina,trina
scraps,restos
sob,soluço
complexion,tez
whit,branco
day,dia
fabio,Fábio
forbes,Forbes
calcium,cálcio
deranged,perturbado
exhaustion,exaustão
one-night,uma noite
rebuilt,reconstruído
bermuda,Bermudas
disperse,dispersar
melbourne,Melbourne
drinker,bebedor
wyoming,Wyoming
hotshot,figurão
myrtle,murta
remy,Remy
set-up,configurar
quota,contingente
scoring,pontuação
have-,ter-
tidal,maré
genre,gênero
unfit,impróprio
socialism,socialismo
bev,bev
symptom,sintoma
incorporated,incorporado
publication,publicação
collects,coleta
astronomers,astrônomos
museums,museus
outpost,posto avançado
luxurious,luxuoso
purgatory,purgatório
showcase,mostruário
delilah,Dalila
jurors,jurados
wondrous,maravilhoso
horoscope,horóscopo
instruct,instruir
traders,comerciantes
nectar,néctar
operatives,operativos
callin,ligando
80ffff,80ffff
annabelle,Annabelle
spartacus,Espartaco
theorists,teóricos
rowan,sorveira
meself,eu mesmo
stalk,talo
righteousness,justiça
confide,confiar
fencing,cerca
believers,crentes
essex,Essex
dispatched,despachou
repulsive,repulsivo
devised,concebido
impeccable,impecável
definitive,definitivo
waved,acenou
scolded,repreendido
separates,separa
nichols,nichols
ventilation,ventilação
civilizations,civilizações
bog,pântano
pussies,bichanos
disable,desabilitar
lancaster,Lancaster
godfrey,Godofredo
equations,equações
castles,castelos
goodwin,boa vitória
mm-mmm,mm-mmm
potty,penico
dumbest,mais idiota
bahamas,Bahamas
hinges,dobradiças
evident,evidente
matrimony,matrimônio
airfield,aeródromo
grimes,sujeira
spikes,espigões
elton,Elton
softball,softbol
outline,contorno
perjury,perjúrio
tortoise,tartaruga
blasts,explosões
brochure,folheto
portraits,retratos
gourmet,gourmet
snore,ronco
motions,movimentos
prescribe,prescrever
lian,Lian
blindness,cegueira
thakur,Thakur
awol,sem licença
firms,empresas
livelihood,meios de subsistência
swordsman,espadachim
stormed,invadido
gaps,lacunas
showdown,Confronto
οf,de
franky,franqueza
sitter,babá
richardson,Ricardo
handcuffed,algemado
catfish,peixe-gato
como,como
glitch,falha
jell-o,gelatina
remarried,casou-se novamente
captioned,legendado
griff,grifo
roach,barata
memorized,memorizado
coded,codificado
negligence,negligência
belgrade,Belgrado
arteries,artérias
forks,garfos
mika,Mika
snowy,Nevado
pelvis,pélvis
slashed,cortado
aloha,aloha
sahara,Saara
freshly,recentemente
meatball,almôndega
waiters,garçons
kali,Kali
literal,literal
kowalski,kowalski
chestnut,castanha
poe,poxa
farmhouse,casa de fazenda
paces,passos
fenton,Fenton
slag,escória
non-stop,sem parar
whitman,Whitman
rohan,rohan
lyla,Lila
endlessly,infinitamente
he-he,ele Ele
self-respect,respeito próprio
blender,liquidificador
viagra,viagra
enhanced,aprimorado
listeners,ouvintes
rebirth,Renascimento
predicament,dilema
vendor,fornecedor
as,como
hounds,cães de caça
labyrinth,labirinto
extraterrestrials,extraterrestres
frail,frágil
plato,Platão
elle,ela
ruse,ardil
observatory,observatório
caterpillar,lagarta
skeptical,cético
ideology,ideologia
pak,pacote
healthier,mais saudável
cutler,cortador
1ah00,1h00
rudder,leme
lollipop,pirulito
sory,desculpe
extracted,extraído
pinocchio,Pinóquio
grimm,sombrio
fireball,bola fogo
individually,individualmente
swain,namorado
burgess,cidadão
rohit,rohit
ports,portos
when,quando
arthritis,artrite
refusal,recusa
juvie,reformatório
mortality,mortalidade
endings,terminações
moya,moya
coz,porque
parvati,Parvati
mikhail,mikhail
deemed,considerado
astronomy,astronomia
yous,você S
duet,dueto
beginner,principiante
nebula,nebulosa
fussy,temperamental
collier,mineiro
oppressed,oprimido
intoxicated,embriagado
shocks,choques
stakeout,tocaia
pioneers,pioneiros
submission,submissão
bids,lances
actively,ativamente
mortuary,necrotério
ey,ei
mmmm,mmmm
shreds,pedaços
mixer,misturador
draining,drenando
bossy,mandão
venezuela,Venezuela
beheaded,decapitado
unnoticed,despercebido
cnn,CNN
cosy,aconchegante
schneider,Schneider
deluxe,luxo
neurotic,neurótico
now.,agora.
tides,marés
bio,biografia
rosen,rosado
berta,berta
geisha,gueixa
agreeable,agradável
wasp,vespa
maturity,maturidade
snores,ronca
defective,defeituoso
tombstone,lápide
delicacy,delicadeza
speculate,especular
significantly,significativamente
newcomer,recém-chegado
youngster,jovem
engineered,projetado
insomnia,insônia
heartache,mágoa
jace,Jace
proceeds,receitas
betcha,Eu aposto
sprained,torcido
lambs,cordeiros
jameson,jameson
vial,frasco
rv,trailer
bret,Bret
stats,Estatísticas
arsenic,arsênico
sheikh,xeque
gareth,Gareth
thames,Tâmisa
lotte,lote
championships,campeonatos
recession,recessão
brands,marcas
firearm,arma de fogo
shepard,pastor
ukrainian,ucraniano
robertson,Robertson
sgt.,Sargento
colourful,colorida
pours,derrama
bunnies,coelhinhos
undead,Morto-vivo
bathed,banhado
comms,comunicações
moods,humores
weber,Weber
kincaid,Kincaid
originated,originado
wham,uau
accelerate,acelerar
aggravated,agravado
steaming,fumegante
confessing,confessando
aisha,Aisha
cowardice,covardia
bailing,fiança
instagram,Instagram
lise,Lisa
discovers,descobre
transmitting,transmitindo
kay,ok
casinos,cassinos
streaming,transmissão
crypt,cripta
twig,galho
anesthesia,anestesia
scandalous,escandaloso
esteem,estima
ripley,riley
breached,violado
givin,dando
devi,devi
selfie,selfie
strategies,estratégias
bb,bb
powering,alimentando
jd,jd
scoob,scoob
29th,29º
maude,maude
ample,amplo
hyo,ei
understatement,eufemismo
taels,taéis
darnell,Darnell
leukemia,leucemia
commandments,mandamentos
camper,campista
smoker,fumante
trolls,trolls
gorge,desfiladeiro
livia,Lívia
wail,lamento
adores,adora
cunningham,cunningham
phoning,telefonando
barbed,farpado
mtv,mtv
genitals,órgãos genitais
citizenship,cidadania
responds,responde
tipping,gorjeta
irons,ferros
trades,negociações
enchanting,encantador
sleazy,desprezível
abner,Abner
upsets,perturba
imaging,imagem
kimono,quimono
fleischman,Fleischman
disobeyed,desobedeceu
smallpox,varíola
accomplishment,realização
traction,tração
universities,universidades
swimsuit,roupa de banho
discarded,descartado
infiltrated,infiltrado
goodbyes,adeus
chipped,lascado
davidson,Davidson
marketplace,Mercado
rj,rj
cleansing,limpeza
packets,pacotes
fancies,fantasias
margie,Margie
stickers,adesivos
tyou,você
benefactor,benfeitor
lush,exuberante
talker,falador
gulps,goles
pups,filhotes
concepts,conceitos
indicating,indicando
sturdy,resistente
finnish,finlandês
so-so,mais ou menos
compact,compactar
hyderabad,Hyderabad
rubles,rublos
diaries,diários
unannounced,sem aviso prévio
high-tech,alta tecnologia
estates,propriedades
versailles,Versalhes
with,com
summary,resumo
joanie,Joaninha
stabler,mais estável
authorize,autorizar
promptly,prontamente
gemini,Gêmeos
phelps,Phelps
vegetation,vegetação
carton,caixa
scapegoat,bode expiatório
provinces,províncias
micky,Mickey
reconcile,conciliar
unrelated,não relacionado
armenian,Armênio
piling,empilhando
bimbo,boba
starbucks,Starbucks
afternoons,tardes
blurry,embaçado
u.n.,un.
outgoing,extrovertido
sandoval,Sandoval
gorillas,gorilas
skateboard,skate
lew,lew
despised,desprezado
accessories,acessórios
wilhelm,Guilherme
linden,tília
relevance,relevância
mambo,mambo
shoplifting,furto em loja
suffocated,sufocado
cochran,cochran
detecting,detecção
really-,realmente-
establishing,estabelecendo
haiti,Haiti
mouthful,bocado
collections,coleções
punjab,Punjab
regan,regan
cortex,córtex
